Type,Value
CPU,0.0
MEM,3.67578
CPU,0.0
MEM,3.67578
CPU,0.0
MEM,3.67578
CPU,0.0
MEM,4.58203
CPU,6.7
MEM,7.4375
CPU,0.0
MEM,10.2148
CPU,0.0
MEM,12.6211
CPU,6.7
MEM,15.0898
CPU,6.7
MEM,17.6016
CPU,6.7
MEM,19.8516
CPU,6.7
MEM,22.043
CPU,0.0
MEM,24.793
CPU,0.0
MEM,27.7656
CPU,0.0
MEM,29.5625
CPU,13.3
MEM,31.5703
CPU,6.7
MEM,34.3008
CPU,6.7
MEM,37.1523
CPU,6.7
MEM,40.3594
CPU,53.3
MEM,41.6445
CPU,20.0
MEM,42.668
CPU,20.0
MEM,45.4961
CPU,13.3
MEM,47.8047
CPU,0.0
MEM,49.6055
CPU,13.3
MEM,51.3789
CPU,0.0
MEM,53.2852
CPU,26.7
MEM,54.3398
CPU,33.3
MEM,56.3867
CPU,33.3
MEM,55.8164
CPU,33.3
MEM,55.8164
CPU,20.0
MEM,55.0195
CPU,6.7
MEM,55.0195
CPU,20.0
MEM,55.0195
CPU,13.3
MEM,55.0195
CPU,33.3
MEM,55.0195
CPU,6.7
MEM,55.4531
CPU,13.3
MEM,57.2383
CPU,33.3
MEM,58.7773
CPU,40.0
MEM,59.7656
CPU,46.7
MEM,59.7656
CPU,46.7
MEM,59.7656
CPU,0.0
MEM,59.7656
CPU,40.0
MEM,59.7656
CPU,6.7
MEM,59.7656
CPU,20.0
MEM,59.7656
CPU,53.3
MEM,59.7656
CPU,26.7
MEM,59.7656
CPU,13.3
MEM,59.7656
CPU,20.0
MEM,59.7656
CPU,13.3
MEM,59.7656
CPU,20.0
MEM,59.7656
CPU,20.0
MEM,59.7656
CPU,6.2
MEM,59.7656
CPU,26.7
MEM,60.0273
CPU,26.7
MEM,60.0273
CPU,20.0
MEM,60.0273
CPU,20.0
MEM,60.0273
CPU,33.3
MEM,60.0273
CPU,20.0
MEM,60.0273
CPU,25.0
MEM,60.0273
CPU,33.3
MEM,60.0273
CPU,26.7
MEM,60.0273
CPU,33.3
MEM,60.0273
CPU,20.0
MEM,60.0273
CPU,33.3
MEM,60.0273
CPU,33.3
MEM,60.0273
CPU,13.3
MEM,60.0273
CPU,26.7
MEM,60.0273
CPU,13.3
MEM,60.0273
CPU,6.2
MEM,60.0273
CPU,18.8
MEM,60.0273
CPU,26.7
MEM,60.0273
CPU,20.0
MEM,60.0273
CPU,13.3
MEM,60.0273
CPU,20.0
MEM,60.0273
CPU,33.3
MEM,60.0273
CPU,0.0
MEM,60.0273
CPU,0.0
MEM,60.0273
CPU,0.0
MEM,60.0273
CPU,0.0
MEM,60.0273
CPU,0.0
MEM,60.0273
CPU,0.0
MEM,60.0273
CPU,46.7
MEM,60.0273
CPU,20.0
MEM,60.0273
CPU,13.3
MEM,60.0273
CPU,46.7
MEM,60.0273
CPU,26.7
MEM,60.0273
CPU,33.3
MEM,60.0273
CPU,40.0
MEM,60.0273
CPU,20.0
MEM,60.0273
CPU,40.0
MEM,60.0273
CPU,20.0
MEM,60.0273
CPU,40.0
MEM,60.0273
CPU,33.3
MEM,60.0273
CPU,13.3
MEM,60.0273
CPU,40.0
MEM,60.0273
CPU,13.3
MEM,60.0273
CPU,0.0
MEM,60.3438
CPU,33.3
MEM,60.3438
CPU,40.0
MEM,60.3438
CPU,33.3
MEM,60.3438
CPU,18.8
MEM,60.3438
CPU,13.3
MEM,60.3438
CPU,33.3
MEM,60.3438
CPU,13.3
MEM,60.3438
CPU,13.3
MEM,60.3438
CPU,6.7
MEM,60.3438
CPU,13.3
MEM,60.3438
CPU,25.0
MEM,60.3438
CPU,33.3
MEM,60.3438
CPU,20.0
MEM,60.3438
CPU,40.0
MEM,60.3438
CPU,40.0
MEM,60.3438
CPU,40.0
MEM,60.3438
CPU,31.2
MEM,60.3438
CPU,0.0
MEM,60.3438
CPU,33.3
