Type,Value
CPU,0.0
MEM,3.81641 MB
CPU,0.0
MEM,3.81641 MB
CPU,0.0
MEM,3.81641 MB
CPU,0.0
MEM,5.73047 MB
CPU,0.0
MEM,5.73047 MB
CPU,0.0
MEM,5.73047 MB
CPU,0.0
MEM,5.73047 MB
CPU,0.0
MEM,5.73047 MB
CPU,0.0
MEM,5.73047 MB
CPU,0.0
MEM,5.73047 MB
CPU,0.0
MEM,5.73047 MB
CPU,0.0
MEM,5.95703 MB
CPU,0.0
MEM,5.95703 MB
CPU,0.0
MEM,5.95703 MB
CPU,0.0
MEM,5.95703 MB
CPU,6.7
MEM,5.95703 MB
CPU,0.0
MEM,5.95703 MB
CPU,0.0
MEM,5.95703 MB
CPU,0.0
MEM,5.95703 MB
CPU,0.0
MEM,5.95703 MB
CPU,0.0
MEM,5.95703 MB
CPU,0.0
MEM,5.95703 MB
CPU,0.0
MEM,6.21094 MB
CPU,0.0
MEM,6.21094 MB
CPU,6.7
MEM,6.21094 MB
CPU,0.0
MEM,6.21094 MB
CPU,0.0
MEM,6.21094 MB
CPU,0.0
MEM,6.21094 MB
CPU,0.0
MEM,6.21094 MB
CPU,0.0
MEM,6.21094 MB
CPU,0.0
MEM,6.21094 MB
CPU,6.7
MEM,6.21094 MB
CPU,0.0
MEM,6.21094 MB
CPU,0.0
MEM,6.21094 MB
CPU,0.0
MEM,6.46875 MB
CPU,0.0
MEM,6.46875 MB
CPU,0.0
MEM,6.46875 MB
CPU,6.7
MEM,6.46875 MB
CPU,0.0
MEM,6.46875 MB
CPU,0.0
MEM,6.46875 MB
CPU,0.0
MEM,6.46875 MB
CPU,0.0
MEM,6.46875 MB
CPU,0.0
MEM,6.46875 MB
CPU,0.0
MEM,6.46875 MB
CPU,0.0
MEM,6.46875 MB
CPU,0.0
MEM,6.46875 MB
CPU,0.0
MEM,6.72656 MB
CPU,0.0
MEM,6.72656 MB
CPU,0.0
MEM,6.72656 MB
CPU,0.0
MEM,6.72656 MB
CPU,0.0
MEM,6.72656 MB
CPU,0.0
MEM,6.72656 MB
CPU,0.0
MEM,6.72656 MB
CPU,0.0
MEM,6.72656 MB
CPU,6.7
MEM,6.72656 MB
CPU,0.0
MEM,6.72656 MB
CPU,0.0
MEM,6.72656 MB
CPU,0.0
MEM,6.72656 MB
CPU,0.0
MEM,6.98047 MB
CPU,0.0
MEM,6.98047 MB
CPU,0.0
MEM,6.98047 MB
CPU,0.0
MEM,6.98047 MB
CPU,0.0
MEM,6.98047 MB
CPU,0.0
MEM,6.98047 MB
CPU,0.0
MEM,6.98047 MB
CPU,0.0
MEM,6.98047 MB
CPU,0.0
MEM,6.98047 MB
CPU,0.0
MEM,6.98047 MB
CPU,6.7
MEM,6.98047 MB
CPU,0.0
MEM,7.23828 MB
CPU,0.0
MEM,7.23828 MB
CPU,0.0
MEM,7.23828 MB
CPU,0.0
MEM,7.23828 MB
CPU,0.0
MEM,7.23828 MB
CPU,0.0
MEM,7.23828 MB
CPU,6.7
MEM,7.23828 MB
CPU,0.0
