Type,Value
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,6.7
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,6.2
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,6.7
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
