Type,Value
CPU,40.0
MEM,24.2617 MB
CPU,0.0
MEM,41.2266 MB
CPU,0.0
MEM,41.2266 MB
CPU,0.0
MEM,41.2266 MB
CPU,0.0
MEM,41.2266 MB
CPU,0.0
MEM,41.2266 MB
CPU,0.0
MEM,41.2266 MB
CPU,0.0
MEM,41.2266 MB
CPU,13.3
MEM,41.2266 MB
CPU,6.7
MEM,42.2031 MB
CPU,12.5
MEM,44.957 MB
CPU,6.7
MEM,48.0156 MB
CPU,0.0
MEM,49.8125 MB
CPU,0.0
MEM,47.0508 MB
CPU,0.0
MEM,45.9023 MB
CPU,0.0
MEM,45.9023 MB
CPU,13.3
MEM,46.8906 MB
CPU,13.3
MEM,48.6836 MB
CPU,18.8
MEM,51.75 MB
CPU,13.3
MEM,53.2695 MB
CPU,0.0
MEM,53.7812 MB
CPU,0.0
MEM,53.7812 MB
CPU,0.0
MEM,53.7812 MB
CPU,0.0
MEM,53.7812 MB
CPU,13.3
MEM,55.2969 MB
CPU,13.3
MEM,56.8281 MB
CPU,20.0
MEM,58.8789 MB
CPU,0.0
MEM,60.8516 MB
CPU,53.3
MEM,63.3984 MB
CPU,60.0
MEM,64.3906 MB
CPU,60.0
MEM,64.3906 MB
CPU,60.0
MEM,64.3906 MB
CPU,60.0
MEM,64.5898 MB
CPU,53.3
MEM,64.5898 MB
CPU,53.3
MEM,64.5898 MB
CPU,53.3
MEM,64.5898 MB
CPU,60.0
MEM,64.5898 MB
CPU,53.3
MEM,64.5898 MB
CPU,53.3
MEM,64.5898 MB
CPU,53.3
MEM,64.5898 MB
CPU,60.0
MEM,64.5898 MB
CPU,60.0
MEM,64.5898 MB
CPU,56.2
MEM,64.8359 MB
CPU,53.3
MEM,64.8359 MB
CPU,53.3
MEM,64.8359 MB
CPU,60.0
MEM,64.8359 MB
CPU,53.3
MEM,64.8359 MB
CPU,53.3
MEM,65.0938 MB
CPU,53.3
MEM,65.0938 MB
CPU,53.3
MEM,65.3516 MB
CPU,53.3
MEM,65.6094 MB
CPU,60.0
MEM,65.8672 MB
CPU,53.3
MEM,65.8672 MB
CPU,50.0
MEM,65.8672 MB
CPU,53.3
MEM,66.3828 MB
CPU,60.0
MEM,66.6406 MB
CPU,66.7
MEM,67.6641 MB
CPU,53.3
MEM,68.4375 MB
CPU,53.3
MEM,69.2109 MB
CPU,53.3
MEM,69.7266 MB
CPU,60.0
MEM,70.2422 MB
CPU,46.7
MEM,71.2656 MB
CPU,53.3
MEM,71.7812 MB
CPU,53.3
MEM,72.0391 MB
CPU,56.2
MEM,72.8125 MB
CPU,53.3
MEM,73.582 MB
CPU,53.3
MEM,74.0977 MB
CPU,37.5
MEM,74.3555 MB
