Type,Value
CPU,0.0
MEM,41.0859 MB
CPU,0.0
MEM,41.0859 MB
CPU,0.0
MEM,41.0859 MB
CPU,0.0
MEM,41.0859 MB
CPU,0.0
MEM,41.0859 MB
CPU,0.0
MEM,41.0859 MB
CPU,33.3
MEM,41.8672 MB
CPU,0.0
MEM,43.4922 MB
CPU,0.0
MEM,42.9062 MB
CPU,0.0
MEM,42.5742 MB
CPU,13.3
MEM,45.1523 MB
CPU,6.7
MEM,47.207 MB
CPU,13.3
MEM,47.6641 MB
CPU,0.0
MEM,47.9141 MB
CPU,6.7
MEM,48.9453 MB
CPU,6.7
MEM,49.4609 MB
CPU,0.0
MEM,49.4609 MB
CPU,6.7
MEM,49.9688 MB
CPU,6.7
MEM,50.4805 MB
CPU,6.7
MEM,50.4805 MB
CPU,6.2
MEM,50.4805 MB
CPU,0.0
MEM,50.4805 MB
CPU,6.7
MEM,50.4805 MB
CPU,0.0
MEM,50.4805 MB
CPU,13.3
MEM,50.4805 MB
CPU,6.7
MEM,50.4805 MB
CPU,6.7
MEM,50.4805 MB
CPU,6.7
MEM,50.4805 MB
CPU,6.7
MEM,50.4805 MB
CPU,6.7
MEM,50.4805 MB
CPU,6.7
MEM,50.7109 MB
CPU,6.7
MEM,50.7109 MB
CPU,6.7
MEM,50.9688 MB
CPU,0.0
MEM,50.9688 MB
CPU,6.7
MEM,50.9688 MB
CPU,6.7
MEM,50.9688 MB
CPU,6.7
MEM,51.2266 MB
CPU,6.7
MEM,51.2266 MB
CPU,6.7
MEM,51.7266 MB
CPU,6.7
MEM,52.5 MB
CPU,6.7
MEM,53.7891 MB
CPU,6.7
MEM,54.0469 MB
CPU,6.7
MEM,54.0469 MB
CPU,0.0
MEM,54.2969 MB
CPU,6.7
MEM,54.2969 MB
CPU,0.0
MEM,54.5547 MB
CPU,0.0
MEM,54.5547 MB
CPU,6.7
MEM,54.5547 MB
CPU,0.0
MEM,54.5547 MB
CPU,6.7
MEM,54.5547 MB
CPU,6.7
MEM,54.5547 MB
CPU,13.3
MEM,54.5547 MB
CPU,13.3
MEM,54.5547 MB
CPU,6.7
MEM,54.8008 MB
CPU,6.7
MEM,55.3164 MB
CPU,13.3
MEM,55.3164 MB
CPU,6.7
MEM,55.3164 MB
CPU,0.0
MEM,55.5742 MB
CPU,6.7
MEM,56.0859 MB
CPU,6.7
MEM,56.0859 MB
CPU,6.7
MEM,56.2656 MB
CPU,0.0
MEM,56.2656 MB
CPU,6.7
MEM,56.2656 MB
CPU,6.7
MEM,56.2656 MB
CPU,6.7
MEM,56.2656 MB
CPU,6.7
MEM,56.2656 MB
CPU,6.7
MEM,56.2656 MB
CPU,0.0
MEM,56.2656 MB
CPU,13.3
MEM,56.5234 MB
CPU,6.7
MEM,56.5234 MB
CPU,6.7
MEM,56.5234 MB
CPU,6.7
MEM,56.5234 MB
CPU,6.2
MEM,56.7812 MB
CPU,6.7
MEM,56.7812 MB
CPU,6.7
MEM,56.7812 MB
CPU,6.7
MEM,57.0234 MB
CPU,0.0
MEM,57.2812 MB
CPU,6.7
MEM,57.2812 MB
CPU,6.2
MEM,57.2812 MB
CPU,6.7
MEM,57.2812 MB
CPU,6.7
MEM,57.2812 MB
CPU,6.7
MEM,57.2812 MB
CPU,6.7
MEM,57.5391 MB
CPU,0.0
MEM,57.5391 MB
CPU,0.0
MEM,57.5391 MB
CPU,6.7
MEM,57.5391 MB
CPU,6.7
MEM,57.5391 MB
CPU,6.7
MEM,57.5391 MB
CPU,6.7
MEM,57.5391 MB
CPU,6.7
MEM,57.5391 MB
CPU,0.0
MEM,57.7812 MB
CPU,0.0
MEM,57.7812 MB
CPU,6.7
MEM,57.7812 MB
CPU,13.3
MEM,57.7812 MB
CPU,12.5
MEM,58.0391 MB
CPU,0.0
MEM,58.0391 MB
CPU,6.7
MEM,58.0391 MB
CPU,13.3
MEM,58.0391 MB
CPU,6.7
MEM,58.0391 MB
CPU,20.0
MEM,58.0391 MB
CPU,0.0
MEM,58.2227 MB
