GAME_TIME_LOW, 9870
GAME_TIME_HIGH, 10484
TICK,0,600
TICK,1,7
TICK,2,6
TICK,3,0
TICK,4,1
TICK,5,0
TICK,6,0
TICK,7,0
GAME_TIME_LOW, 9840
GAME_TIME_HIGH, 10453
TICK,0,600
TICK,1,10
TICK,2,3
TICK,3,0
TICK,4,0
TICK,5,0
TICK,6,0
TICK,7,0
GAME_TIME_LOW, 9860
GAME_TIME_HIGH, 10474
TICK,0,599
TICK,1,12
TICK,2,3
TICK,3,0
TICK,4,0
TICK,5,0
TICK,6,0
TICK,7,0
GAME_TIME_LOW, 9846
GAME_TIME_HIGH, 10459
TICK,0,599
TICK,1,10
TICK,2,3
TICK,3,1
TICK,4,0
TICK,5,0
TICK,6,0
TICK,7,0
GAME_TIME_LOW, 9878
GAME_TIME_HIGH, 10492
TICK,0,593
TICK,1,19
TICK,2,0
TICK,3,0
TICK,4,2
TICK,5,0
TICK,6,0
TICK,7,0
GAME_TIME_LOW, 9850
GAME_TIME_HIGH, 10463
TICK,0,598
TICK,1,9
TICK,2,6
TICK,3,0
TICK,4,0
TICK,5,0
TICK,6,0
TICK,7,0
GAME_TIME_LOW, 9846
GAME_TIME_HIGH, 10459
TICK,0,598
TICK,1,11
TICK,2,4
TICK,3,0
TICK,4,0
TICK,5,0
TICK,6,0
TICK,7,0
GAME_TIME_LOW, 9838
GAME_TIME_HIGH, 10450
TICK,0,594
TICK,1,15
TICK,2,2
TICK,3,0
TICK,4,1
TICK,5,0
TICK,6,0
TICK,7,0
GAME_TIME_LOW, 9848
GAME_TIME_HIGH, 10460
TICK,0,593
TICK,1,14
TICK,2,2
TICK,3,2
TICK,4,1
TICK,5,0
TICK,6,0
TICK,7,0
GAME_TIME_LOW, 9864
GAME_TIME_HIGH, 10477
TICK,0,592
TICK,1,18
TICK,2,1
TICK,3,0
TICK,4,2
TICK,5,0
TICK,6,0
TICK,7,0
GAME_TIME_LOW, 9842
GAME_TIME_HIGH, 10455
TICK,0,600
TICK,1,9
TICK,2,4
TICK,3,0
TICK,4,0
TICK,5,0
TICK,6,0
TICK,7,0
GAME_TIME_LOW, 9830
GAME_TIME_HIGH, 10442
TICK,0,596
TICK,1,13
TICK,2,3
TICK,3,0
