Type,Value
CPU,0.0
MEM,3.81641 MB
CPU,
MEM,
CPU,0.0
MEM,3.81641 MB
CPU,
MEM,
CPU,0.0
MEM,3.81641 MB
CPU,
MEM,
CPU,0.0
MEM,3.81641 MB
CPU,
MEM,
CPU,0.0
MEM,3.81641 MB
CPU,
MEM,
CPU,0.0
MEM,3.81641 MB
CPU,
MEM,
CPU,0.0
MEM,3.81641 MB
CPU,
MEM,
CPU,0.0
MEM,3.81641 MB
CPU,
MEM,
CPU,0.0
MEM,3.81641 MB
CPU,
MEM,
CPU,13.3
MEM,11.1406 MB
CPU,
MEM,
CPU,0.0
MEM,17.4297 MB
CPU,
MEM,
CPU,0.0
MEM,26.0859 MB
CPU,
MEM,
CPU,20.0
MEM,26.0859 MB
CPU,
MEM,
CPU,53.3
MEM,26.7891 MB
CPU,
MEM,
CPU,93.3
MEM,32.6328 MB
CPU,
MEM,
CPU,93.3
MEM,35.7227 MB
CPU,
MEM,
CPU,87.5
MEM,35.9805 MB
CPU,
MEM,
CPU,93.3
MEM,37.2656 MB
CPU,
MEM,
CPU,87.5
MEM,39.5781 MB
CPU,
MEM,
CPU,99.9
MEM,39.5781 MB
CPU,
MEM,
CPU,93.3
MEM,39.5781 MB
CPU,
MEM,
CPU,93.3
MEM,39.5781 MB
CPU,
MEM,
CPU,87.5
MEM,39.5781 MB
CPU,
MEM,
CPU,93.3
MEM,39.5781 MB
CPU,
MEM,
CPU,86.7
MEM,39.5781 MB
CPU,
MEM,
CPU,99.9
MEM,39.5781 MB
CPU,
MEM,
CPU,93.8
MEM,39.5781 MB
CPU,
MEM,
CPU,99.9
MEM,39.5781 MB
CPU,
MEM,
CPU,87.5
MEM,39.8203 MB
CPU,
MEM,
CPU,93.3
MEM,39.8203 MB
CPU,
MEM,
CPU,86.7
MEM,39.8203 MB
CPU,
MEM,
CPU,87.5
MEM,39.8203 MB
CPU,
MEM,
CPU,99.9
MEM,39.8203 MB
CPU,
MEM,
CPU,93.3
MEM,39.8203 MB
CPU,
MEM,
CPU,99.9
MEM,39.8203 MB
CPU,
MEM,
CPU,99.9
MEM,39.8203 MB
CPU,
MEM,
CPU,99.9
MEM,39.8203 MB
CPU,
MEM,
CPU,73.3
MEM,39.8203 MB
CPU,
MEM,
CPU,73.3
MEM,39.8203 MB
CPU,
MEM,
CPU,80.0
MEM,39.8203 MB
CPU,
MEM,
CPU,86.7
MEM,39.8203 MB
CPU,
MEM,
CPU,86.7
MEM,39.8203 MB
CPU,
MEM,
CPU,68.8
MEM,39.8203 MB
CPU,
MEM,
CPU,93.3
MEM,39.8203 MB
CPU,
MEM,
CPU,87.5
MEM,39.8203 MB
CPU,
MEM,
CPU,86.7
MEM,39.8203 MB
CPU,
MEM,
CPU,86.7
MEM,39.8203 MB
CPU,
MEM,
CPU,86.7
MEM,40.0781 MB
CPU,
MEM,
CPU,93.3
MEM,40.0781 MB
CPU,
MEM,
CPU,93.3
MEM,40.0781 MB
CPU,
MEM,
CPU,86.7
MEM,40.0781 MB
CPU,
MEM,
