Type,Value
CPU,0.0
MEM,40.9336 MB
CPU,0.0
MEM,40.9336 MB
CPU,0.0
MEM,40.9336 MB
CPU,0.0
MEM,40.9336 MB
CPU,0.0
MEM,40.9336 MB
CPU,0.0
MEM,40.9336 MB
CPU,0.0
MEM,40.9336 MB
CPU,0.0
MEM,41.2773 MB
CPU,26.7
MEM,46.1758 MB
CPU,6.7
MEM,49.4844 MB
CPU,0.0
MEM,54.0977 MB
CPU,99.9
MEM,55.8828 MB
CPU,60.0
MEM,60.3945 MB
CPU,93.3
MEM,61.9297 MB
CPU,99.9
MEM,62.9609 MB
CPU,99.9
MEM,63.9922 MB
CPU,93.3
MEM,65.0078 MB
CPU,93.3
MEM,65.7812 MB
CPU,93.3
MEM,66.8086 MB
CPU,99.9
MEM,67.5781 MB
CPU,93.3
MEM,67.5508 MB
CPU,99.9
MEM,67.5508 MB
CPU,93.3
MEM,67.5508 MB
CPU,99.9
MEM,67.5508 MB
CPU,99.9
MEM,67.5508 MB
CPU,99.9
MEM,67.5508 MB
CPU,99.9
MEM,67.5508 MB
CPU,86.7
MEM,67.8086 MB
CPU,99.9
MEM,68.2461 MB
CPU,87.5
MEM,68.2461 MB
CPU,93.3
MEM,68.2461 MB
CPU,99.9
MEM,68.2461 MB
CPU,99.9
MEM,68.2461 MB
CPU,93.8
MEM,68.2461 MB
CPU,99.9
MEM,68.2461 MB
CPU,99.9
MEM,69.0195 MB
CPU,99.9
MEM,71.0078 MB
CPU,99.9
MEM,71.2656 MB
CPU,93.3
MEM,71.2656 MB
CPU,
MEM,
CPU,
MEM,
